year,VAcorp,NOScorp,Pcorpnipa,NMINT,KGCcorp,INVcorp,KTCcorp,Rcorp,Profshcorp,rcorp,VAcorpnipa,KNCcorpbea,Rcorpnipa,Profshcorpnipa,rcorpnipa,uK,uFRB,Rcorpn,Profshcorpn,rcorpn,IGCcorpbea,DEPCcorp,pIGcorpbea,GOSRcorp,ECcorp,WEQ2,VAcorp_check,Pcorp,rcorp_sectoral,exploit_rate,pKN,GVAcorp,Py,real_Y_gro,real_Y_net,real_K_gro,real_K_net,R_gross,R_net,R_net_Knet,g_real_Y_gro_pct,g_real_Y_net_pct,g_real_K_gro_pct,g_real_K_net_pct,g_real_Y_gro_log,g_real_Y_net_log,g_real_K_gro_log,g_real_K_net_log
1967,451.3,101.5,85.4,16.099999999999998,753.3311352268145,137.24580548411166,890.5769407109261,0.5546392269833118,0.2249058276091291,0.1247415943691693,442.5,610.8,0.7854100106496273,0.1929943502824858,0.1515796947106851,1.04273521900177,0.86997,0.531908021208182,0.215716136037976,0.1147411430626348,64.9,36.9,38.37954352589141,360.60877041602464,308.4,44.52220721178262,451.3,85.4,0.1520926090828139,0.329118028534371,19.41006921345632,488.2,19.166684888373823,2547.1280132337,2354.6064571330785,3930.4195775857515,3186.77957903143,0.6480549882662313,0.5990725444583167,0.7388670595939751,2.49366615930382,2.1385591567822715,6.203672835128393,5.358267226490421,2.4630817113302506,2.1160128579942317,6.0188506356649185,5.219642509387334
1968,499.4,110.3,91.6,18.6,835.8512661760232,150.87303700128405,986.7243031773072,0.5607600839084617,0.2208650380456548,0.1238522972669269,488.5,672.6,0.7997707924034054,0.1875127942681678,0.1499672560576293,1.05709373950958,0.8734090000000001,0.5304733752075916,0.212349903025802,0.1126459697831019,71.0,40.7,39.64676984029342,380.8633101971832,341.3,48.1840341880342,499.4,91.6,0.1505093657574761,0.3231760914151772,20.38348487760849,540.1,19.98228850064505,2702.893614925863,2499.2132406850133,4182.960656128255,3365.9808283635166,0.6461675920776312,0.5974747185402128,0.7424918227772821,6.115342490949671,6.141441730691799,6.425295660104213,5.623270919369716,5.935645323941774,5.960237461214923,6.227310382989337,5.47085295611236
1969,542.6,111.0,87.9,23.20000000000001,928.3262407092184,171.15395912880993,1099.4801998380285,0.5499003097955506,0.2045705860670844,0.112493428653347,531.6,741.1,0.7903657448706513,0.1653498871331828,0.1306868867082961,1.04945170879364,0.874147,0.5239881980159612,0.20852021895652,0.1092621337809205,79.2,45.2,41.210638688722426,379.0283406666667,378.6,53.33211639871382,542.6,87.9,0.131154879140555,0.2931854199683043,21.39932738134292,587.8000000000001,20.96407408217261,2803.8443181225557,2588.2373715775752,4428.17668488706,3535.0953116036508,0.6331825755037748,0.5844927959652061,0.7321549048711375,3.734912193333284,3.5620862375137285,5.862259985628859,5.02422597939618,3.666853790495672,3.500111389814453,5.696862902955679,4.902086117012949
1970,559.8,102.6,75.4,27.20000000000001,1032.4109896184032,180.5525721624072,1212.9635617808103,0.5091496873545042,0.1832797427652733,0.0933168237273528,547.8,815.7,0.7391715018216164,0.1376414749908726,0.1017406557819457,0.984412431716919,0.8124809999999999,0.5172117609958394,0.204613379176295,0.1058284461670809,81.4,50.1,43.14452019222909,353.92675435872235,400.2,57.81271951219511,559.8,75.4,0.1020988490182803,0.2563718140929535,22.6254833939936,609.9,22.069402838213108,2763.5546121074008,2536.5434855840676,4678.0195965737075,3696.0673833349842,0.5907531071762705,0.5422259212941075,0.686281721221037,-1.436945188245431,-1.9972621739094643,5.642117048746886,4.553542621692719,-1.4473692245753789,-2.0174770706826273,5.488694145914685,4.452912378587293
1971,604.1,116.0,88.2,27.800000000000008,1145.856447448968,192.3602938159656,1338.2167412649335,0.4980363953498254,0.1920211885449429,0.0956335405737125,591.3000000000001,895.2,0.7248988598749541,0.1491628614916286,0.1081279882309672,0.973544180393219,0.7961499999999999,0.511570409828413,0.200976476841728,0.1028136186237933,84.6,54.9,45.08498231389687,379.0619209078014,425.3,61.12371918208375,604.1,88.2,0.1085004305572641,0.2727486480131672,23.98525659072224,659.0,23.190037828264057,2841.737494696148,2604.997906746499,4941.158164271713,3860.2783084248736,0.575115671310432,0.5272039105290318,0.6748212689901698,2.8290695702636315,2.6987284685430657,5.624999260172703,4.442855285330882,2.789790497968525,2.6629549842930977,5.472489268496616,4.34698964707696
1972,671.5,131.7,101.9,29.799999999999983,1256.3166880969834,217.69574074296509,1474.0124288399484,0.5017871763921236,0.1961280714817572,0.0984145512000635,657.0,972.2,0.7339142091152815,0.1550989345509893,0.1138293118856121,1.00391101837158,0.8466809999999999,0.4998323229941838,0.197743471317657,0.0988385786256382,96.2,59.8,46.48292684029919,411.9792212266112,472.5,69.20973781337047,671.5,101.9,0.1142248626835556,0.2787301587301587,25.06482991703036,731.3,24.192596155948664,3022.825641720896,2775.642579537237,5192.9800340509155,4018.584833694865,0.5820984525070211,0.5344989892772661,0.6907015017486113,6.372444582327996,6.550664488013491,5.096413865074467,4.10090963971419,6.177637788907475,6.345040893327347,4.970797014306783,4.019052772831522
1973,753.3000000000001,145.2,109.6,35.6,1429.5600183096158,255.4848400445016,1685.0448583541174,0.5110540354078623,0.1927518916766228,0.0985066320738372,735.7,1097.4,0.7567372968524995,0.1489737664809025,0.1127340053486936,1.00486552715302,0.883077,0.5085795279053686,0.194958557200502,0.0991519309821431,114.8,67.0,48.3830249758401,438.5835736933798,533.9,83.77466355866353,753.3000000000001,109.6,0.1130946238778247,0.2719610413935194,27.018276340196085,820.3000000000001,25.517678700282072,3214.63409597258,2952.0710282776354,5602.23378897632,4300.54791773779,0.5738129141090308,0.5269453470661135,0.6864406779661018,6.345336350345621,6.3563100682009654,7.8809036861664294,7.016477086130735,6.1521502795791605,6.162468693234935,7.585768902038126,6.781262807751354
1974,808.5,142.4,97.7,44.70000000000001,1763.5896893717152,305.8594920722974,2069.4491814440125,0.4798091848959496,0.1761286332714904,0.0845081359668314,791.1,1346.4,0.720885729907053,0.1234989255467071,0.0890286130854747,0.884328484535217,0.851318,0.5425689585789227,0.192649494373508,0.1045256355329902,131.2,78.9,53.22099894873923,415.8133149908537,587.4,87.89350167858709,808.5,97.7,0.0892971392011699,0.2424242424242424,31.740071490819343,887.4,27.807053987273964,3191.276574663835,2907.5356216088694,6342.238520408637,4841.93687190375,0.5031782649603374,0.4584399675686644,0.6004901960784313,-0.7265996879087355,-1.5086156885171453,13.209101214027253,12.588836690622118,-0.7292522804041468,-1.5201110554633246,12.406637596633274,11.857238351157662
1975,865.4,166.10000000000002,118.7,47.40000000000003,1983.040821726274,319.4743310918299,2302.515152818104,0.4181789085519579,0.191934365611278,0.0802629035249367,850.0,1495.4,0.6313131313131313,0.1396470588235294,0.0881610219845513,0.853546917438507,0.7581140000000001,0.4899307817863278,0.190822457147913,0.093489795612865,134.0,94.5,60.488518638164734,430.8255613910449,614.9,88.95773091603053,865.4,118.7,0.0883776338321793,0.2701252236135957,34.28987723496374,959.9,30.389434325323077,3158.6635990790032,2847.7002590300754,6525.428543675901,4920.7891926895945,0.48405458399206786,0.4364004969129446,0.5787080379831483,-1.0219413711664016,-2.057940825697757,2.888412705983523,1.6285284767630914,-1.0271990428842415,-2.0794115079902475,2.847484318356841,1.6154101835692103
1976,977.4,190.7,145.1,45.70000000000002,2204.961979321552,356.5855886169328,2561.5475679384845,0.4244923204104592,0.195109474114999,0.0828224734011403,958.4,1643.8,0.640898756185636,0.15139816360601,0.0970308947438812,0.879995822906494,0.7977580000000001,0.4823799265414975,0.189318124891222,0.0913232631780017,148.6,104.7,63.922433301801696,462.1225831709288,695.2,96.24894097346184,977.4,145.1,0.0972324599611338,0.2743095512082854,36.65108401021321,1082.1,32.063280344608934,3374.8886214068934,3048.3468612541333,6876.90702767501,5126.736822723086,0.49075676140817304,0.4432729494504652,0.5945978829541306,6.845459022319966,7.045917195386209,5.386289676556855,4.185256103623591,6.621329625272665,6.808768908988672,5.246236268811977,4.100043719320112
1977,1105.5,220.7,172.7,47.99999999999999,2477.822211640864,402.9218074965217,2880.7440191373857,0.4315750423052649,0.1996381727725011,0.0861588528600379,1087.1,1829.9,0.6613334955590704,0.1588630300800294,0.1050614429979316,0.901091992855072,0.8341580000000001,0.478946706581908,0.187987952399458,0.0900362106787969,177.4,118.1,68.10955936324764,497.4338450687712,784.8,104.93653932114884,1105.5,172.7,0.1052663659636718,0.2812181447502548,39.43790128914517,1223.6,34.05418406839701,3593.097393091048,3246.2971298317702,7276.116810387288,5373.49535764736,0.49382074075028454,0.4461579183552138,0.6041313732990874,6.465658460550605,6.493692404026397,5.805077502221878,4.813169535650297,6.265229139187056,6.291557115417135,5.6428323798936475,4.700924151196695
1978,1263.6999999999998,253.1,195.6,57.500000000000014,2835.834184592631,448.6215129892695,3284.4556975819005,0.438671395863352,0.2002848777399699,0.0878592468885134,1241.9,2081.5,0.6786709656265368,0.1575006039133585,0.1068910869446417,0.911491215229034,0.85072,0.4812678263203286,0.186741213219735,0.0898725377706828,218.2,134.4,72.28603314312632,536.064829055912,901.8,121.55075451066158,1263.6999999999998,195.6,0.1071017905053934,0.2806609004213795,42.969623074481575,1398.1,36.449609691032734,3835.7063679174535,3466.9781397162474,7780.14966039622,5710.623563994121,0.49301190020065916,0.4456184380828073,0.6071102570261829,6.752084574520678,6.797930104935079,6.927223176095532,6.273908953265805,6.533899356015205,6.576835931025471,6.697825982919525,6.084962194450938
1979,1400.1,263.1,190.7,72.39999999999999,3283.947207948603,512.0243736088548,3795.971581557458,0.4262806775048874,0.1879151489179344,0.0801045969941689,1373.9,2399.7,0.6600528465049244,0.1388019506514302,0.0916166226279125,0.88534152507782,0.850005,0.4814872740408488,0.18560330137517,0.0893656276321127,259.5,155.3,77.99462855952306,536.4471986435453,1022.0,136.768343530964,1400.1,190.7,0.0917930204572803,0.2574363992172211,47.29885306076161,1555.4,39.47259090809701,3940.4558054509184,3547.0182417460655,8319.563353706704,6079.408381342785,0.4736373338265746,0.42634668322655717,0.5834479309913739,2.7309034500035967,2.3086416701885826,6.933204589319097,6.457873001363268,2.694279561398183,2.282395720616215,6.703419737021221,6.257916223477444
1980,1504.4,255.7,166.0,89.69999999999999,3800.071121600247,555.6651749830419,4355.736296583289,0.3963148742496002,0.1699680935921297,0.0673608836384091,1483.2,2761.2,0.6180772596574573,0.1119201725997842,0.0691753135808642,0.834066033363342,0.807607,0.4751600693430404,0.184735198756684,0.0877787898513263,284.6,180.0,84.5720031414428,515.182310712579,1120.1,137.08687193841848,1504.4,166.0,0.0692965977875182,0.228283189000982,52.24623664119977,1684.4,43.04878315439617,3912.770295873016,3494.6400101587305,8827.360132273985,6414.118582857142,0.443254861843397,0.39588732733151655,0.5448355787338839,-0.7025966270096107,-1.476683456850536,6.103646994178336,5.505637728525614,-0.7050764594167092,-1.487694964879438,5.924623221903147,5.3594203685337405
1981,1697.8,303.2999999999999,193.6,109.69999999999992,4326.983953050354,618.2344737387148,4945.218426789069,0.3897848456371847,0.1786429496996112,0.0696323145728343,1680.9,3125.3,0.6087570621468927,0.1151763935986673,0.0701144429957989,0.843342185020447,0.795681,0.4621906179491475,0.184320854241447,0.0851913695227691,324.4,208.3,92.6284286310064,552.3142382540075,1240.0,141.42489397321427,1697.8,193.6,0.070211068397766,0.2445967741935483,56.84126769809424,1906.1,47.11258828417117,4045.8401234567896,3603.7077601410933,9184.34777336173,6633.683509700177,0.4405146912218785,0.392374924063011,0.5432438485905353,3.4009108003127286,3.1210010091256457,4.044104191269482,3.423150414304166,3.344358456110541,3.073287982153694,3.9644702019504763,3.3658642847328224
1982,1751.1999999999998,296.1,173.1,123.0,4638.957776099302,632.4657606176995,5271.423536717001,0.3541198484810011,0.1690840566468707,0.0598760205203428,1735.9,3318.6,0.5554346782708859,0.0997177256754421,0.0553866828784436,0.820055425167084,0.7360720000000001,0.4318242860338985,0.184396864719059,0.079627044454197,327.1,231.6,97.67437988295008,540.2644998948334,1293.8,139.82551612243506,1751.1999999999998,173.1,0.0554452274183215,0.2288607203586335,58.61877544907526,1982.8,50.02514595587432,3963.606626453361,3500.6394614913884,9273.251856558674,6633.863703120902,0.42742359290608817,0.3774985857863332,0.5276924004098114,-2.0325444034888784,-2.8600626218833414,0.9679956093866737,0.0027163403328200886,-2.0534848220087554,-2.901759372669588,0.9633405483040036,0.0027163034408417275
