"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","RICOMP","boundsF_stat","boundsF_p","boundsT_stat","boundsT_p","theta_hat","theta_se","a_hat","den","s_K","admissible","failed","error_msg","ICOMP_Misspec","spec_idx"
5,1,4,"s1",-264.581858455969,10,60,132.290929227985,-244.581858455969,-223.638412833748,-236.38972552739,-240.092062537602,-205.299786058281,NA,7.00382997283179,0.00741855109543211,NA,NA,-3.45712019368447,2.22636972900436,65.7164747010255,0.152501070470479,0.166666666666667,TRUE,FALSE,"",-201.949800197527,205
1,2,4,"s1",-267.482883654745,7,63,133.741441827373,-253.482883654745,-238.480940570004,-247.582546112224,-251.446520018381,-215.951829768402,NA,3.07852927601379,0.341309029638245,NA,NA,-2.21662530917258,1.17930973890285,47.2120721008383,0.155754238022763,0.666666666666667,FALSE,FALSE,"",-215.030698114448,206
2,2,4,"s1",-267.511351047914,8,63,133.755675523957,-251.511351047914,-234.366273236781,-244.768108142175,-248.844684381247,-212.571956365853,NA,2.89715609491242,0.390508396573069,NA,NA,-2.14291699708385,1.23937103540752,46.1080471715736,0.15769678194108,0.5,FALSE,FALSE,"",-212.421905756383,207
3,2,4,"s1",-275.166151025535,9,62,137.583075512768,-257.166151025535,-238.021941560129,-249.649651397921,-253.704612563997,-217.344608445324,NA,4.62536883694077,0.0877396860264399,NA,NA,-2.18978625515374,1.09500012411445,46.849948136365,0.17572912517592,0.4,TRUE,FALSE,"",-215.075502189295,208
4,2,4,"s1",-270.958329169154,10,61,135.479164584577,-250.958329169154,-229.849590527421,-242.68561667059,-246.558329169154,-209.938174908475,NA,3.71306635159803,0.202560627449572,NA,NA,-2.93289238734658,1.95024552597637,57.9972611920155,0.139201675775538,0.333333333333333,FALSE,FALSE,"",-204.91903675483,209
5,2,4,"s1",-270.37967845971,11,60,135.189839229855,-248.37967845971,-225.341888275267,-239.368332238273,-242.87967845971,-206.578881482736,NA,3.36448367007373,0.271063040143343,NA,NA,-7.49732454452985,12.4705698965527,126.575899885699,0.0564053385848928,0.285714285714286,FALSE,FALSE,"",-201.159212167283,210
1,3,4,"s1",-272.016051769381,8,62,136.008025884691,-256.016051769381,-238.998976689021,-249.334718767058,-253.299070637306,-216.886319873943,NA,2.76485275361308,0.430597133582785,NA,NA,-1.87302875576338,0.9822958560515,42.2074408153667,0.160348820732149,0.75,FALSE,FALSE,"",-216.065614215378,211
2,3,4,"s1",-272.072444830699,9,62,136.03622241535,-254.072444830699,-234.928235365293,-246.555945203085,-250.610906369161,-214.005040788594,NA,2.7321217607085,0.440995948278896,NA,NA,-1.7754013433368,1.02295484594295,40.7306749922069,0.166473139172713,0.6,FALSE,FALSE,"",-212.804986552795,212
3,3,4,"s1",-275.817497756333,10,62,137.908748878167,-255.817497756333,-234.546153905882,-247.465831503429,-251.503772266137,-214.589729466776,NA,3.30964045928162,0.283717776885916,NA,NA,-2.34085217836771,1.34850220755011,49.1977137388114,0.151664265229911,0.5,FALSE,FALSE,"",-211.733705741547,213
4,3,4,"s1",-271.723537263114,11,61,135.861768631557,-249.723537263114,-226.503924757207,-240.623553514693,-244.335782161073,-207.600855099127,NA,2.9096943894674,0.387173444769232,NA,NA,-3.32610638752345,2.70428140566703,64.0120036610978,0.114348621688568,0.428571428571429,FALSE,FALSE,"",-202.671099401683,214
5,3,4,"s1",-271.281355774498,12,60,135.640677887249,-247.281355774498,-222.149221027833,-237.450796260203,-240.643057902158,-204.462643604787,NA,2.72061181855343,0.44462237007741,NA,NA,-11.6298199328207,33.3528452344884,189.021447897208,0.0335847091479475,0.375,FALSE,FALSE,"",-198.737461272172,215
1,4,4,"s1",-268.162643356121,9,61,134.081321678061,-250.162643356121,-231.164778578561,-242.717202107414,-246.633231591415,-210.288674802,NA,2.551267514744,0.499393725411773,NA,NA,-2.39265707169464,1.45625869656675,49.9158516826335,0.146281010934628,0.8,FALSE,FALSE,"",-207.898834238889,216
