"year","gdp_nominal","gdp_real_2017","gdp_deflator","gnp_nominal","nfia","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_ALL_D_cc","ME_K_net_real","NRC_K_net_real","RC_K_net_real","IP_K_net_real","NR_K_net_real","TOTAL_PRODUCTIVE_K_net_real","TOTAL_ALL_K_net_real","ME_K_gross_real","NRC_K_gross_real","RC_K_gross_real","IP_K_gross_real","NR_K_gross_real","TOTAL_PRODUCTIVE_K_gross_real","TOTAL_ALL_K_gross_real","ME_IG_real","NRC_IG_real","RC_IG_real","IP_IG_real","NR_IG_real","TOTAL_PRODUCTIVE_IG_real","TOTAL_ALL_IG_real","ME_D_real","NRC_D_real","RC_D_real","IP_D_real","NR_D_real","TOTAL_PRODUCTIVE_D_real","TOTAL_ALL_D_real","ME_p_K","NRC_p_K","RC_p_K","IP_p_K","NR_p_K","TOTAL_PRODUCTIVE_p_K","TOTAL_ALL_p_K","yk_ratio_real","iy_ratio_nom","dy_ratio_nom","ik_ratio_nom","dk_ratio_nom","yk_ratio_NR_real"
1984,4040.7,7741.4983664628,52.195322,4103.9,63.1999999999998,1018.89,3245.61,4527.51,205.2,4264.5,8792.01,8997.21,1176.82,3368.94,4654.28,246.24,4545.76,9200.04,9446.28,233.06,359.23,470.94,63.17,592.29,1063.23,1126.4,157.93,123.33,126.77,41.04,281.26,408.03,449.07,909.92,5163.75,7137.9,243.88,6073.67,13211.57,13455.45,1050.95943075307,5359.9674406352,7337.76075856265,292.656,6410.92687138827,13748.6876299509,14041.3436299509,208.134298305018,571.533213325076,742.466085331672,75.0774834307992,779.667511630094,1522.13359696177,1597.21108039257,141.039430753074,196.217440635196,199.860758562654,48.776,337.256871388271,537.117629950925,585.893629950924,1.11975778090382,0.628537400145243,0.634291598369268,0.841397408561588,0.702129025778483,0.665478062031992,0.668666599779272,0.585963543050735,0.26313015071646,0.100980028212933,0.120931391115342,0.046409182883095,1.27459976693874
1985,4346.7,8064.96068204107,53.896109,4415.3,68.6000000000004,1100,3500,4900,230,4600,9500,9730,1270.5,3633,5037.2,276,4903.5,9940.7,10216.7,251.61,387.39,509.69,70.8,639,1148.69,1219.49,170.5,133,137.2,46,303.5,440.7,486.7,987,5400,7560,280,6387,13947,14227,1139.985,5605.2,7771.68,336,6745.185,14516.865,14852.865,225.762790909091,597.687428571429,786.378857142857,86.1913043478261,823.45021948052,1609.82907662338,1696.0203809712,152.985,205.2,211.68,56,358.185,569.865,625.865,1.1144883485309,0.648148148148148,0.648148148148148,0.821428571428571,0.72021293251918,0.681150068115007,0.683910873690869,0.578257738728119,0.264267145190604,0.101387259300159,0.120914736842105,0.0463894736842105,1.26271499640537
1986,4590.2,8338.64391581643,55.04732,4659.4,69.1999999999998,1185.6,3696.63,5200.75,252.94,4882.23,10082.98,10335.92,1369.37,3837.1,5346.37,303.53,5206.47,10552.84,10856.37,269.37,337.1,446.37,73.53,606.47,1052.84,1126.37,183.77,140.47,145.62,50.59,324.24,469.86,520.45,1059.85,5690.25,8007.3,315,6750.1,14757.4,15072.4,1224.12853787112,5906.4765137436,8231.50286035668,378.002490709259,7130.60505161472,15362.1079119714,15740.1104026807,240.799421811741,518.900532376786,687.250589049656,91.5709259112833,759.699954188527,1446.95054323818,1538.52146914947,164.27853787112,216.226513743599,224.202860356679,63.0024907092591,380.505051614719,604.707911971398,667.710402680657,1.11864886540548,0.649642810069856,0.649501080264259,0.802984126984127,0.723282618035288,0.68324908181658,0.68575143971763,0.565048309039291,0.229366912117119,0.102361552873513,0.104417543226308,0.0465993188521647,1.23533635291572
1987,4870.2,8618.94616455657,56.505748,4945.3,75.1000000000004,1277.86,3904.31,5519.95,278.17,5182.17,10702.12,10980.29,1475.93,4052.67,5674.51,333.8,5528.6,11203.11,11536.91,290.33,356.04,473.76,80.86,646.37,1120.13,1200.99,198.07,148.36,154.56,55.63,346.43,500.99,556.62,1138.34,5998.05,8481.9,354.2,7136.39,15618.29,15972.49,1314.78421438968,6225.97009292295,8719.39535122601,425.034906711723,7540.75430731263,16260.1496585386,16685.1845652504,258.631033290032,546.971352684597,727.974880931893,102.960822518604,805.602385974629,1533.57726690652,1636.53808942513,176.444214389683,227.920092922949,237.495351226008,70.8349067117231,404.364307312632,641.85965853864,712.694565250363,1.12256443593303,0.650929885546136,0.65079168582511,0.785347261434218,0.726161266410608,0.685229945147644,0.687450109532077,0.551849540798421,0.229996714713975,0.102868465360765,0.104664309501295,0.0468122203825036,1.20774595622669
1988,5252.6,8981.67079801408,58.481324,5341.6,89,1377.3,4123.65,5858.75,305.92,5500.95,11359.7,11665.62,1590.78,4280.35,6022.79,367.1,5871.13,11893.92,12261.02,312.92,376.04,502.84,88.93,688.96,1191.8,1280.73,213.48,156.7,164.04,61.18,370.18,534.22,595.4,1222.47,6320.7,8983.8,398.44,7543.17,16526.97,16925.41,1411.95151862339,6560.88859263032,9235.33873300619,478.122790271967,7972.84011125371,17208.1788442599,17686.3016345319,277.742911783925,576.391310610745,771.054233752934,115.825278504184,854.134222394671,1625.1884561476,1741.01373465179,189.481518623394,240.188592630315,251.538733006187,79.6827902719665,429.670111253709,681.208844259896,760.891634531863,1.12665341480773,0.652404005885424,0.652146085175538,0.767794398152796,0.729262365822327,0.687343173007514,0.689237070180279,0.543455382203397,0.226897155694323,0.101705821878689,0.10491474246679,0.047027650378091,1.19070242325363
1989,5657.7,9318.51324576332,60.714621,5743.6,85.9000000000005,1484.48,4355.32,6218.34,336.44,5839.8,12058.14,12394.58,1714.57,4520.82,6392.45,403.73,6235.39,12627.84,13031.57,337.27,397.17,533.7,97.81,734.44,1268.14,1365.95,230.09,165.5,174.11,67.29,395.59,569.7,636.99,1312.71,6660.9,9517.2,448,7973.61,17490.81,17938.81,1516.17615912643,6914.01089655869,9783.67621262266,537.60266317917,8430.18705568512,18213.8632683078,18751.4659314869,298.244302179888,607.420270611574,816.830478873783,130.24277731542,905.664572791462,1722.49505166525,1852.73782898067,203.466159126428,253.110896558691,266.476212622661,89.6026631791702,456.57705568512,723.053268307781,812.655931486951,1.13085144472123,0.653863592007086,0.653379145126718,0.750982142857143,0.732390974727884,0.689398604181282,0.69093657829031,0.532766249576968,0.224144086819732,0.100694628559309,0.105168790543152,0.0472460926809607,1.16866930358562
1990,5979.6,9497.86525963905,62.957305,6062.9,83.2999999999993,1600,4600,6600,370,6200,12800,13170,1848,4774.8,6784.8,444,6622.8,13407.6,13851.6,363.52,419.48,566.46,107.56,783,1349.46,1457.02,248,174.8,184.8,74,422.8,607.6,681.6,1410,7020,10080,504,8430,18510,19014,1628.55,7286.76,10362.24,604.8,8915.31,19277.55,19882.35,320.352,640.162956521739,865.138909090909,146.514162162162,960.514956521739,1825.65386561265,1972.16802777481,218.55,266.76,282.24,100.8,485.31,767.55,868.35,1.13475177304965,0.655270655270655,0.654761904761905,0.734126984126984,0.735468564650059,0.69151809832523,0.692647522877879,0.513120759569911,0.225677302829621,0.101612147969764,0.1054265625,0.04746875,1.12667440802361
1991,6174,9507.28005264083,64.939709,6259.5,85.5,1689.43,4749.91,6824.24,404.81,6439.34,13263.58,13668.39,1951.29,4930.41,7015.32,485.77,6881.7,13897.02,14382.79,351.29,330.41,415.32,115.77,681.7,1097.02,1212.79,261.86,180.5,191.08,80.96,442.36,633.44,714.4,1528.91,7149.6,10357.2,558.32,8678.51,19035.71,19594.03,1765.88955677359,7421.28994780954,10647.2035426656,669.981241570119,9187.17950458312,19834.3830472487,20504.3642888188,317.912428393008,497.335599200827,630.334264914481,159.671713643438,815.248027593835,1445.58229250832,1605.25400615175,236.979556773586,271.689947809538,290.003542665557,111.661241570119,508.669504583124,798.673047248681,910.3342888188,1.10498982935555,0.66436024392973,0.658888502684123,0.725050150451354,0.741986815709148,0.696773590267975,0.697579313699122,0.499444467931106,0.177683835438937,0.102597991577583,0.0827091931439325,0.0477578451669911,1.09549681369738
1992,6539.3,9842.67420068065,66.438245,6628.3,89,1783.86,4904.7,7056.09,442.89,6688.56,13744.65,14187.54,2060.36,5091.08,7253.66,531.47,7151.44,14405.1,14936.57,370.93,341.17,429.42,126.66,712.1,1141.52,1268.18,276.5,186.38,197.57,88.58,462.88,660.45,749.03,1658.16,7283.25,10644.9,618.24,8941.41,19586.31,20204.55,1915.17638020921,7560.01557893449,10942.9564155219,741.890791844476,9475.1919591437,20418.1483746656,21160.0391665101,344.792354108506,506.62148602361,647.828040458668,176.807510668563,851.413840132116,1499.24188059078,1676.04939125935,257.016380209209,276.765578934491,298.056415521911,123.650791844476,533.781959143701,831.838374665612,955.489166510088,1.07580691851209,0.673421892699001,0.662861088408534,0.716372282608696,0.748043093874456,0.701747802419139,0.702195297593859,0.502528255739884,0.174563026623645,0.100997048613766,0.0830519511228005,0.0480514236448364,1.10079665295302
1993,6878.7,10130.2385182457,67.902646,6955.2,76.5,1883.56,5064.53,7295.82,484.55,6948.09,14243.91,14728.46,2175.51,5256.98,7500.1,581.46,7432.49,14932.59,15514.05,391.65,352.29,444.01,138.57,743.94,1187.95,1326.52,291.95,192.45,204.28,96.91,484.4,688.68,785.59,1798.22,7416.9,10938.9,684.88,9215.12,20154.02,20838.9,2076.94238155408,7698.73906601402,11245.1847619596,821.856,9775.6814475681,21020.8662095277,21842.7222095277,373.905191764531,515.921457864797,665.721055206954,195.85970818285,889.826649629328,1555.54770483628,1751.40741301913,278.722381554078,281.839066014023,306.284761959588,136.976,560.561447568101,866.846209527689,1003.82220952769,1.04745804184138,0.682836495031617,0.666961028988289,0.707496203714519,0.753988011007996,0.706752796712517,0.706777229124378,0.502641086902052,0.172699783389303,0.100117754808321,0.0834005550442259,0.0483490839242876,1.09930619658189
1994,7308.8,10556.0245244434,69.238187,7387.7,78.8999999999996,1988.84,5229.58,7543.7,530.13,7218.42,14762.12,15292.25,2297.11,5428.3,7754.92,636.16,7725.41,15480.33,16116.49,413.55,363.76,459.1,151.61,777.31,1236.41,1388.02,308.27,198.72,211.22,106.03,506.99,718.21,824.24,1950.03,7554.6,11239.2,758.52,9504.63,20743.83,21502.35,2252.28445390278,7841.66896385561,11553.8922364357,910.229723275423,10093.9534177584,21647.8456541941,22558.0753774695,405.480031827598,525.484129891884,684.003435979692,216.926446720616,930.964161719482,1614.96759769917,1831.89404441979,302.254453902778,287.068963855606,314.692236435701,151.709723275423,589.323417758384,904.015654194085,1055.72537746951,1.01990225791398,0.692237841844704,0.671195458751512,0.69890049042873,0.75946354566143,0.711639075329869,0.711189707171542,0.508875387257001,0.169167305166375,0.0982664732924694,0.0837555852411442,0.0486522261030259,1.11061919553348
1995,7664.1,10860.2322500648,70.570314,7757.5,93.3999999999996,2100,5400,7800,580,7500,15300,15880,2425.5,5605.2,8018.4,696,8030.7,16049.1,16745.1,436.66,375.62,474.7,165.87,812.28,1286.98,1452.85,325.5,205.2,218.4,116,530.7,749.1,865.1,2115,7695,11550,840,9810,21360,22200,2442.825,7987.41,11873.4,1008,10430.235,22303.635,23311.635,439.779,535.2585,702.921153846154,240.225517241379,975.0375,1677.95865384615,1918.18417108753,327.825,292.41,323.4,168,620.235,943.635,1111.635,0.99290780141844,0.701754385964912,0.675324675324675,0.69047619047619,0.764525993883792,0.716292134831461,0.715315315315315,0.508437839422509,0.167923174280085,0.0977414177789956,0.084116339869281,0.0489607843137255,1.10705731397195
1996,8100.2,11297.7235091313,71.69763,8210.4,110.2,2224.37,5654.79,8277.77,637.44,7879.16,16156.93,16794.37,2569.15,5869.67,8509.55,764.93,8438.82,16948.37,17713.3,469.15,469.67,709.55,184.93,938.82,1648.37,1833.3,344.78,214.88,231.78,127.49,559.66,791.44,918.93,2276.21,7900.2,11942.7,930.44,10176.41,22119.11,23049.55,2629.02526175951,8200.40477789626,12277.0991202945,1116.53091930221,10829.4300396558,23106.5291599502,24223.0600792525,480.083763717367,656.167060845761,1023.69874797198,269.93327873996,1136.25082456313,2159.94957253511,2429.88285127507,352.815261759509,300.204777896261,334.399120294475,186.090919302209,653.020039655771,987.419159950246,1173.51007925245,0.977225299950356,0.715778081567555,0.693123832969094,0.6850952237651,0.774257326503158,0.730451179997749,0.728620298444004,0.510767544857424,0.203497444507543,0.0977062294758154,0.1020224758045,0.0489845533774052,1.11018753264966
1997,8608.5,11829.6838835278,72.77033,8710,101.5,2356.11,5921.61,8784.81,700.57,8277.72,17062.53,17763.1,2721.31,6146.63,9030.78,840.68,8867.94,17898.72,18739.4,496.94,491.84,753.01,203.24,988.78,1741.79,1945.03,365.2,225.02,245.97,140.11,590.22,836.19,976.3,2450.11,8109.45,12348,1030.4,10559.56,22907.56,23937.96,2829.880117694,8417.60748402884,12693.7374217541,1236.47411679061,11247.4876017228,23941.225023477,25177.6991402676,516.766052264113,673.558692315097,1058.43694741264,298.925868935296,1190.32474457921,2248.76169199185,2547.68756092714,379.770117693996,308.157484028837,345.737421754142,206.074116790613,687.927601722832,1033.66502347697,1239.73914026759,0.961634375599463,0.730211050071213,0.711435860058309,0.67990100931677,0.783907662819284,0.744842750602858,0.742047359089914,0.516409599430398,0.20233373990823,0.0971353894406691,0.102082750916775,0.0490073863606394,1.12028189465544
1998,9089.2,12370.1413813852,73.476929,9186.2,97,2495.64,6201.02,9322.91,769.95,8696.66,18019.57,18789.52,2882.46,6436.66,9583.95,923.94,9319.12,18903.07,19827.01,526.36,515.05,799.14,223.37,1041.41,1840.55,2063.92,386.82,235.64,261.04,153.99,622.46,883.5,1037.49,2637.17,8325.45,12768,1141.28,10962.62,23730.62,24871.9,3045.9269118142,8641.81876481611,13125.5019730964,1369.536,11687.7456766303,24813.2476497267,26182.7836497267,556.210351332724,691.502853159641,1094.44578141374,331.096452496915,1247.71320449237,2342.15898590611,2673.25543840302,408.756911814204,316.368764816111,357.501973096383,228.256,725.125676630315,1082.6276497267,1310.8836497267,0.946332621711911,0.744827006348005,0.730177788220551,0.674637249404178,0.793301236383273,0.759338356941369,0.755451734688544,0.521273417272081,0.202498569731109,0.0972032742155525,0.102141727022343,0.0490300267986417,1.1283927912657
1999,9660.6,12972.2775609771,74.471117,9743.2,82.6000000000004,2643.45,6493.61,9893.96,846.2,9137.06,19031.02,19877.22,3053.18,6740.37,10170.99,1015.44,9793.55,19964.54,20979.98,557.53,539.35,848.09,245.49,1096.88,1944.97,2190.46,409.73,246.76,277.03,169.24,656.49,933.52,1102.76,2838.33,8546.85,13200.6,1263.92,11385.18,24585.78,25849.7,3278.26604982126,8871.63401166686,13570.215625897,1516.704,12149.9000614881,25720.1156873851,27236.8196873851,598.632137887987,709.889190681301,1131.52841268815,366.674215079177,1308.52132856929,2440.04974125743,2806.72395633661,439.936049821256,324.784011666854,369.615625897012,252.784,764.72006148811,1134.33568738512,1387.11968738512,0.931339907621735,0.759766463667901,0.749508355680802,0.669504399012596,0.802539792958917,0.774066147179386,0.768953604877426,0.527633353954078,0.201330145125562,0.0966316791917686,0.102199987178827,0.0490525468419454,1.13940030469234
2000,10252.3,13543.6368375033,75.698279,10359.5,107.200000000001,2800,6800,10500,930,9600,20100,21030,3234,7058.4,10794,1116,10292.4,21086.4,22202.4,590.55,564.79,900.04,269.8,1155.34,2055.38,2325.18,434,258.4,294,186,692.4,986.4,1172.4,3055,8775,13650,1400,11830,25480,26880,3528.525,9108.45,14032.2,1680,12636.975,26669.175,28349.175,644.332232142857,728.828272058824,1170.052,406.150537634409,1373.16050420168,2543.21250420168,2949.36304183609,473.525,333.45,382.2,280,806.975,1189.175,1469.175,0.916530278232406,0.774928774928775,0.769230769230769,0.664285714285714,0.811496196111581,0.788854003139717,0.782366071428571,0.531539907280349,0.200479892316846,0.0962125571822908,0.102257711442786,0.0490746268656716,1.14485518491152
2001,10581.9,13722.404391823,77.114037,10691.5,109.6,2875.79,7223.78,11562.22,986.66,10099.57,21661.79,22648.45,3321.54,7498.28,11885.96,1183.99,10819.82,22705.78,23889.77,521.54,698.28,1385.96,253.99,1219.82,2605.78,2859.77,445.75,274.5,323.74,197.33,720.25,1043.99,1241.32,3184.72,8955.9,14229.6,1475.32,12140.62,26370.22,27845.54,3678.35442393221,9296.21968719978,14628.0261416925,1770.38100946628,12974.574111132,27602.6002528245,29372.9812622908,577.566118805615,865.713774782732,1705.69807666694,379.78282974885,1443.27989358835,3148.97797025528,3528.76080000413,493.634423932207,340.319687199776,398.426141692512,295.06100946628,833.954111131983,1232.3802528245,1527.44126229078,0.902996181767942,0.806594535445907,0.812547084949682,0.668776943307215,0.831882556245068,0.821448967812934,0.813360056942692,0.520375043963342,0.246248783299786,0.0986580859769985,0.120293844599177,0.0481950014287831,1.13028860073233
2002,10936.4,13983.1125825063,78.211485,11050.6,114.200000000001,2953.62,7673.98,12731.9,1046.78,10627.6,23359.5,24406.28,3411.43,7965.59,13088.39,1256.14,11377.02,24465.41,25721.55,535.65,741.8,1526.17,269.47,1277.45,2803.62,3073.09,457.81,291.61,356.49,209.36,749.42,1105.91,1315.27,3319.61,9140.85,14832.3,1554.84,12460.46,27292.76,28847.6,3834.14831369641,9488.20082297582,15247.6006720914,1865.81394142036,13322.3491366722,28569.9498087636,30435.763750184,602.023651146728,883.593979916549,1777.94447733645,400.258635816504,1485.61763106328,3263.56210839973,3663.82074421624,514.538313696413,347.350822975822,415.300672091361,310.973941420356,861.889136672235,1277.1898087636,1588.16375018395,0.889749097032483,0.839525864662477,0.858390135043115,0.673239690257518,0.852905911980778,0.855886322966237,0.846041958429817,0.512337798834061,0.256356753593504,0.101121941406679,0.120020548385025,0.0473430510070849,1.12219874567282
2003,11458.2,14408.1740830143,79.525691,11583.6,125.4,3033.56,8152.23,14019.91,1110.55,11185.79,25205.7,26316.25,3503.76,8462.01,14412.47,1332.66,11965.77,26378.24,27710.9,550.14,788.03,1680.57,285.89,1338.17,3018.74,3304.63,470.2,309.78,392.56,222.11,779.98,1172.54,1394.65,3460.14,9329.85,15460.2,1638.56,12789.99,28250.19,29888.75,3996.45964688353,9684.37887528934,15893.088378884,1966.272,13680.8385221729,29573.9269010569,31540.1989010569,627.500830575298,901.863869824576,1853.21791038602,421.816143712575,1529.36470039987,3382.58261078589,3804.39875449846,536.31964688353,354.528875289338,432.88837888403,327.712,890.848522172868,1323.7369010569,1651.4489010569,0.876715971030074,0.873779321210952,0.906838850726381,0.67775974025974,0.874573787782477,0.892231167294804,0.880473422274267,0.510020431119731,0.263456738405683,0.102331954408197,0.119764180324292,0.0465188429601241,1.1265195737459
2004,12213.7,15012.3099909451,81.357899,12383.9,170.199999999999,3115.67,8660.28,15438.21,1178.22,11775.95,27214.16,28392.38,3598.6,8989.37,15870.48,1413.86,12587.97,28458.45,29872.31,565.04,837.15,1850.58,303.3,1402.19,3252.77,3556.07,482.93,329.09,432.27,235.64,812.02,1244.29,1479.93,3607.25,9522.9,16117.5,1727.04,13130.15,29247.65,30974.69,4166.37508144316,9884.76949625185,16568.7901252801,2072.4421367826,14051.144577695,30619.9347029751,32692.3768397577,654.190122830723,920.535564092616,1932.0065700622,444.57845903142,1574.72568692334,3506.73225698554,3951.31071601696,559.125081443157,361.869496251853,451.290125280068,345.402136782604,920.99457769501,1372.28470297508,1717.68683975768,0.863724443828401,0.909416249251804,0.957853885528153,0.682219288493608,0.896863326009223,0.930473388460269,0.916631611163825,0.513282605301455,0.266321425939723,0.101876581216175,0.119524909091444,0.0457221534671656,1.14334641957214
2005,13036.6,15641.4906887981,83.346276,13251.8,215.199999999999,3200,9200,17000,1250,12400,29400,30650,3696,9549.6,17476,1500,13245.6,30721.6,32221.6,580.33,889.32,2037.79,321.78,1469.65,3507.44,3829.22,496,349.6,476,250,845.6,1321.6,1571.6,3760,9720,16800,1820,13480,30280,32100,4342.8,10089.36,17270.4,2184,14432.16,31702.56,33886.56,681.88775,939.585913043478,2013.816,468.51168,1621.47366304348,3635.28966304348,4103.80134304348,582.8,369.36,470.4,364,952.16,1422.56,1786.56,0.851063829787234,0.946502057613169,1.01190476190476,0.686813186813187,0.919881305637982,0.970937912813738,0.954828660436137,0.516561779682896,0.269045610051701,0.10137612567694,0.119300680272109,0.044952380952381,1.16034797394645
2006,13814.6,16188.086378849,85.338067,14043.3,228.699999999999,3394.11,10150.86,17972.2,1329.28,13544.97,31517.17,32846.45,3920.2,10536.59,18475.42,1595.14,14456.79,32932.21,34527.35,720.2,1336.59,1475.42,345.14,2056.79,3532.21,3877.35,526.09,385.73,503.22,265.86,911.82,1415.04,1680.9,3832.38,9876.6,16884,1887.48,13708.98,30592.98,32480.46,4426.40223092357,10251.9081924093,17356.7504968785,2264.98167970631,14678.3104233329,32035.0609202114,34300.0425999177,813.197001864996,1300.47747619414,1386.08469080024,490.073458714492,2113.67447805913,3499.75916885937,3989.83262757386,594.022230923571,375.308192409313,472.750496878512,377.501679706307,969.330423332884,1442.0809202114,1819.5825999177,0.885640254880779,1.02776866533017,1.06445155176498,0.704261767012101,0.988036309047063,1.0302092179317,1.01126800544081,0.529143822499443,0.255686737220043,0.102430761657956,0.112072562352521,0.044897432098123,1.1808381352113
2007,14451.9,16538.4542320403,87.38362,14715.5,263.6,3600,11200,19000,1413.6,14800,33800,35213.6,4158,11625.6,19532,1696.32,15783.6,35315.6,37011.92,763.89,1474.74,1559.8,367.03,2238.63,3798.43,4165.46,558,425.6,532,282.72,983.6,1515.6,1798.32,3906.17,10035.9,16965.9,1957.76,13942.07,30907.97,32865.73,4511.62635,10417.2642,17440.9452,2349.312,14928.89055,32369.83575,34719.14775,828.856722583333,1321.45921125,1392.81109578947,508.316817204301,2150.31593383333,3543.12702962281,4051.44384682711,605.45635,381.3642,475.0452,391.552,986.82055,1461.86575,1853.41775,0.921618874754555,1.1159935830369,1.11989343329856,0.722049689440994,1.0615353387266,1.09356906972538,1.07143824281402,0.535087041693139,0.262832568727987,0.104872023747743,0.112379585798817,0.0448402366863905,1.1862265956232
2008,14712.8,16539.8141717118,88.953841,15010.8,298,3566.35,11065.05,17753.32,1503.26,14631.4,32384.72,33887.98,4119.13,11485.52,18250.41,1803.91,15604.65,33855.06,35658.97,519.13,285.52,0.1,390.31,804.65,804.75,1195.06,552.78,420.47,497.09,300.65,973.25,1470.34,1770.99,3981.37,10197.9,17049.9,2030.28,14179.27,31229.17,33259.45,4598.47760542291,10585.4184488999,17527.2943572808,2436.33329883054,15183.8960543228,32711.1904116036,35147.5237104341,579.541718591837,263.144261255033,0.0960378115191975,527.146725649588,842.68597984687,842.782017658389,1369.92874330798,617.107605422911,387.518448899915,477.394357280779,406.053298830542,1004.62605432283,1482.0204116036,1888.07371043415,0.895759499870648,1.08503221251434,1.04125654695922,0.740420040585535,1.03188669092273,1.03700226422924,1.01889778694476,0.52962708172237,0.054697270404002,0.0999361100538307,0.024849682195801,0.045402276135165,1.16647854027124
2009,14448.9,16116.8212937778,89.651053,14642.6,193.700000000001,3533.02,10931.72,16588.44,1598.6,14464.74,31053.18,32651.78,4080.64,11347.13,17052.92,1918.32,15427.77,32480.69,34399.01,514.29,282.08,0.1,415.07,796.37,796.47,1211.54,547.62,415.41,464.48,319.72,963.03,1427.51,1747.23,4057.98,10362.6,17136,2105.88,14420.58,31556.58,33662.46,4686.96908231485,10756.3831984354,17615.8118014714,2527.056,15443.3522807502,33059.1640822216,35586.2200822216,590.706685555134,267.394536998752,0.103300852883092,546.783192543476,858.101222553886,858.20452340677,1404.98771595025,628.989082314847,393.783198435379,479.811801471386,421.176,1022.77228075023,1502.58408222161,1923.76008222161,0.87063514359361,1.05492057977728,0.968046218487395,0.759112580014056,1.00306229014367,0.984047700986609,0.969976050472841,0.510727756105947,0.0551232273737101,0.0987971402667331,0.0256485809182828,0.0459698491426643,1.11762642652222
2010,14992.1,16537.133271771,90.657188,15261.1,269,3500,10800,15500,1700,14300,29800,31500,4042.5,11210.4,15934,2040,15252.9,31186.9,33226.9,509.48,278.68,0.1,441.4,788.16,788.26,1229.66,542.5,410.4,434,340,952.9,1386.9,1726.9,4136,10530,17220,2184,14666,31886,34070,4777.08,10930.14,17702.16,2620.8,15707.22,33409.38,36030.18,602.059794285714,271.713,0.111096774193548,567.069176470588,873.772794285714,873.883891059908,1440.9530675305,641.08,400.14,482.16,436.8,1041.22,1523.38,1960.18,0.846228239845261,1.02564102564103,0.900116144018583,0.778388278388278,0.975044320196372,0.934579439252336,0.924567067801585,0.518633044965533,0.0525783579351792,0.0925087212598635,0.026451677852349,0.0465402684563758,1.12758306776019
2011,15542.6,16810.9414908153,92.455262,15864.3,321.699999999999,3647.1,11120.42,16058.31,1821.38,14767.52,30825.83,32647.21,4212.4,11543,16507.94,2185.66,15755.4,32263.34,34449,712.4,743,1007.94,485.66,1455.4,2463.34,2949,565.3,422.58,449.63,364.28,987.88,1437.51,1801.79,4199.92,10712.25,17465.7,2247.28,14912.17,32377.87,34625.15,4850.90702421102,11119.3193917136,17954.7366851182,2696.74093533475,15970.2264159246,33924.9631010428,36621.7040363776,820.38414301774,715.728520145822,1096.27835419792,599.223668207623,1536.11266316356,2632.39101736148,3231.6146855691,650.987024211017,407.069391713622,489.036685118172,449.460935334746,1058.05641592464,1547.09310104281,1996.55403637756,0.868373683308253,1.03810310625686,0.91941977704873,0.810482004912605,0.990299869167264,0.952064789932136,0.942875626531582,0.519210852684729,0.158489570599514,0.0924883867563985,0.0799115546929312,0.0466332942211126,1.12733032756569
2012,16197,17247.0004945695,93.911982,16508.5,311.5,3800.39,11450.34,16636.72,1951.43,15250.73,31887.45,33838.88,4389.45,11885.45,17102.55,2341.72,16274.9,33377.45,35719.17,742.35,765.03,1044.25,520.34,1507.38,2551.63,3071.97,589.06,435.11,465.83,390.29,1024.17,1490,1880.29,4264.78,10898.55,17713.5,2312.8,15163.33,32876.83,35189.63,4925.82039501209,11312.6921207143,18209.4799590905,2775.36474072859,16238.5125157264,34447.9924748169,37223.3572155455,833.061720770763,728.163330215522,1111.8370913858,616.697679137863,1561.22505098628,2673.06214237209,3289.75982150995,661.040395012091,414.142120714319,495.979959090494,462.564740728594,1075.18251572641,1571.1624748169,2033.7272155455,0.891110444149522,1.05062967091953,0.939211335986677,0.843752161881702,1.00576390542183,0.969906466043107,0.961615112179355,0.524594387432411,0.157537198246589,0.091992344261283,0.0800198824302351,0.0467268470824729,1.13741509909561
2013,16785,17650.3381882612,95.097328,17101.5,316.5,3960.12,11790.05,17235.97,2090.77,15750.17,32986.14,35076.91,4573.94,12238.07,17718.58,2508.92,16812.01,34530.59,37039.51,773.55,787.73,1081.86,557.49,1561.28,2643.14,3200.63,613.82,448.02,482.61,418.15,1061.84,1544.45,1962.6,4330.58,11087.55,17965.5,2379.72,15418.13,33383.63,35763.35,5001.82143096674,11508.8751132099,18468.5369602059,2855.65944718931,16510.6965441766,34979.2335043825,37834.8929515718,845.913800339384,740.793784716774,1127.65082731056,634.536607469975,1586.70758505616,2714.35841236672,3348.89501983669,671.241430966738,421.325113209868,503.036960205895,475.939447189313,1092.56654417661,1595.6035043825,2071.54295157181,0.914454876713974,1.06335935350912,0.959392724945034,0.878578152051502,1.02153568558574,0.988093266070826,0.980806048650364,0.528712371550404,0.15747036044087,0.0920137027107537,0.0801288056135092,0.046821180047135,1.14477814029725
